Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,3.413266,2.430764,2.775306,0.171250,0.073123,0.089503,1.579078,2.607277,1.966513,0.138561,0.006068,0.098815,1.320785,1.754217
2,1.316798,1.244149,1.039952,0.096519,0.002774,0.033680,0.876561,0.898283,0.894996,0.085662,0.003353,0.067732,1.001252,0.764721
3,0.703264,1.046391,0.472129,0.069095,0.002057,0.023003,0.708654,0.389994,0.682731,0.090062,0.003892,0.085719,0.960787,0.564294
4,0.519260,0.918505,0.303071,0.056192,0.002050,0.020040,0.643973,0.248694,0.607739,0.072955,0.003064,0.066342,0.864170,0.499001
5,0.438103,0.862499,0.233499,0.049508,0.001881,0.017004,0.607701,0.190807,0.555023,0.062682,0.003793,0.064001,0.836126,0.470031
6,0.388069,0.838882,0.186352,0.045825,0.002078,0.016534,0.591240,0.151993,0.544092,0.060735,0.004959,0.065888,0.819933,0.439283
7,0.350873,0.827676,0.158250,0.042011,0.001784,0.014282,0.565275,0.130188,0.499877,0.055621,0.005355,0.079236,0.840977,0.426085
8,0.323608,0.797526,0.132267,0.038220,0.001893,0.013854,0.559499,0.109535,0.523356,0.056872,0.003320,0.052035,0.772761,0.440456
9,0.306758,0.786214,0.117652,0.036107,0.001884,0.013505,0.552296,0.097601,0.489764,0.057664,0.003976,0.061947,0.789497,0.419456
10,0.291109,0.803914,0.105344,0.033941,0.001947,0.012775,0.539775,0.089624,0.520808,0.056759,0.003016,0.059696,0.800217,0.424707
11,0.270677,0.816452,0.094393,0.031162,0.001260,0.010268,0.523341,0.078740,0.550248,0.058454,0.002067,0.052361,0.753339,0.463344
12,0.271728,0.837164,0.095130,0.031629,0.001442,0.010333,0.522203,0.079825,0.566599,0.050435,0.003242,0.053579,0.771463,0.480774
13,0.253948,0.821262,0.083381,0.029746,0.001103,0.009701,0.507717,0.068531,0.539313,0.056775,0.004067,0.064539,0.767926,0.448468
14,0.254504,0.776722,0.081954,0.028302,0.001306,0.010721,0.512046,0.067471,0.507121,0.053568,0.001721,0.057701,0.730408,0.435667
15,0.242672,0.781776,0.073648,0.026486,0.001139,0.009003,0.503768,0.062667,0.522156,0.053509,0.002262,0.056326,0.721240,0.437966
16,0.245721,0.737713,0.075351,0.027309,0.001204,0.009412,0.506889,0.063417,0.469192,0.049707,0.002141,0.064108,0.715650,0.394638
17,0.232002,0.743151,0.067409,0.025274,0.001108,0.008681,0.492071,0.056502,0.486344,0.048830,0.001344,0.052098,0.729192,0.406728
18,0.223521,0.713220,0.063542,0.023889,0.001002,0.007333,0.481142,0.054256,0.464590,0.049470,0.001813,0.055868,0.684310,0.386432
19,0.234067,0.794957,0.069946,0.024655,0.001203,0.008941,0.495338,0.056043,0.534496,0.050298,0.002204,0.059664,0.706905,0.457241
20,0.211891,0.811181,0.054018,0.023213,0.000946,0.006596,0.475066,0.046428,0.545287,0.052757,0.002089,0.060344,0.733114,0.459583
21,0.216006,0.779404,0.058871,0.022564,0.000936,0.006712,0.475106,0.050217,0.510373,0.048068,0.003512,0.064741,0.707282,0.439493
22,0.224609,0.739298,0.067068,0.023484,0.000981,0.006672,0.481105,0.054697,0.475922,0.045428,0.001922,0.062961,0.701828,0.406381
