Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,7.574655,6.756699,3.248213,0.197118,2.608373,1.032518,2.195353,3.104985,2.457093,0.172905,2.703536,1.045451,1.976207,2.199700
2,4.799330,4.777354,1.290836,0.122848,2.128134,0.909767,1.682649,1.099583,0.958372,0.109106,2.324898,1.060389,1.595033,0.759634
3,3.610933,4.180685,0.535377,0.084940,1.829203,0.857817,1.342285,0.422139,0.655057,0.105572,2.115116,1.010058,1.358085,0.535542
4,3.217281,4.075585,0.355346,0.069640,1.689448,0.826948,1.167234,0.276442,0.594006,0.086466,2.080488,1.025851,1.269542,0.496293
5,3.010743,3.912043,0.275801,0.061424,1.607963,0.807429,1.067557,0.212944,0.503152,0.079703,2.031093,1.028123,1.177616,0.416230
6,2.877151,3.830230,0.224006,0.056715,1.556016,0.796449,0.994886,0.171718,0.512705,0.084292,1.978115,1.003032,1.116650,0.431179
7,2.769339,3.735315,0.184472,0.051605,1.514501,0.783569,0.942478,0.140974,0.458062,0.075355,1.951805,1.000269,1.084454,0.382391
8,2.700265,3.724634,0.162402,0.048473,1.484778,0.777719,0.899232,0.125123,0.489679,0.113170,1.924598,0.979079,1.045637,0.411683
9,2.642950,3.681597,0.142665,0.046372,1.461425,0.770405,0.872114,0.109936,0.457307,0.072853,1.927371,0.986106,1.030478,0.387791
10,2.594170,3.718320,0.127198,0.042707,1.441624,0.764294,0.847037,0.098375,0.517364,0.073055,1.911604,0.991690,1.004498,0.436934
11,2.559243,3.687347,0.117131,0.042229,1.426901,0.760657,0.823702,0.089789,0.484010,0.068165,1.916859,0.999936,0.989762,0.395071
12,2.512934,3.729262,0.102401,0.039395,1.406595,0.754863,0.803710,0.078930,0.479696,0.078719,1.944161,1.000721,0.990457,0.416069
13,2.497809,3.625702,0.098329,0.038469,1.400965,0.753482,0.790356,0.075713,0.438499,0.092840,1.889747,0.991107,0.968570,0.377214
14,2.470212,3.590779,0.092264,0.037354,1.387982,0.749119,0.775634,0.071222,0.432293,0.071975,1.885271,0.988399,0.931708,0.370922
15,2.441050,3.615468,0.084883,0.034844,1.375915,0.744442,0.759484,0.065967,0.438672,0.081777,1.896346,0.989700,0.948895,0.369058
16,2.424225,3.591504,0.080616,0.034199,1.367977,0.742894,0.749740,0.062049,0.458977,0.062542,1.881193,0.983078,0.930582,0.374598
17,2.402399,3.630468,0.074351,0.032782,1.358663,0.739869,0.738207,0.057678,0.463955,0.076958,1.892888,0.997946,0.904535,0.395633
18,2.388853,3.629748,0.072213,0.032206,1.352588,0.737299,0.728495,0.056415,0.472135,0.077643,1.891782,0.990676,0.920323,0.392608
19,2.382257,3.584234,0.072259,0.031504,1.349174,0.735433,0.724401,0.056896,0.437837,0.081856,1.878939,0.985192,0.922511,0.367007
20,2.362372,3.672343,0.066410,0.030400,1.340012,0.734887,0.711737,0.051096,0.486606,0.097810,1.893392,1.001390,0.910666,0.424307
21,2.353030,3.621234,0.065565,0.029592,1.336380,0.732242,0.705150,0.050568,0.463139,0.084422,1.879073,1.002304,0.903857,0.389839
22,2.339743,3.631440,0.061678,0.028783,1.331486,0.729919,0.698730,0.046976,0.464082,0.068159,1.901535,0.994593,0.895001,0.401382
23,2.328073,3.678273,0.058832,0.028269,1.325939,0.727918,0.691975,0.046146,0.480371,0.088857,1.902521,1.007860,0.905381,0.423326
24,2.318649,3.627476,0.058635,0.027521,1.321081,0.726690,0.681945,0.046433,0.470947,0.089356,1.883067,0.996008,0.882452,0.407026
25,2.307423,3.661913,0.056237,0.027319,1.316236,0.725089,0.674618,0.043870,0.460224,0.086292,1.904060,1.025427,0.889291,0.384761
26,2.295963,3.634393,0.053368,0.025821,1.311388,0.723269,0.670206,0.041301,0.465469,0.080146,1.896484,1.001671,0.878212,0.399934
27,2.293405,3.618090,0.054844,0.025705,1.309876,0.722304,0.666320,0.042108,0.439082,0.080987,1.896050,1.016125,0.853689,0.379549
28,2.281983,3.613016,0.052080,0.025689,1.304904,0.720760,0.657570,0.040326,0.472181,0.082512,1.879082,0.995466,0.862987,0.404451
29,2.282848,3.644510,0.053746,0.025491,1.304142,0.720286,0.660136,0.041522,0.449471,0.079940,1.905318,1.024767,0.848099,0.390577
