Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,3.366387,2.182334,2.749916,0.165663,0.066954,0.089928,1.507570,2.598886,1.787684,0.111669,0.005175,0.100490,1.143487,1.567891
2,1.285238,1.461611,1.035630,0.087929,0.002774,0.033921,0.804232,0.890988,1.119967,0.087813,0.003838,0.068089,0.992814,0.975898
3,0.768570,1.042073,0.555103,0.066282,0.002117,0.024011,0.663343,0.465494,0.740262,0.065831,0.003423,0.077923,0.856275,0.601595
4,0.541539,0.971223,0.343402,0.053667,0.002033,0.020849,0.597178,0.281939,0.666413,0.090318,0.002707,0.068690,0.843846,0.536614
5,0.449432,0.833000,0.253908,0.048137,0.002051,0.019722,0.575636,0.207892,0.558132,0.053994,0.003007,0.058942,0.789954,0.456004
6,0.387291,0.897462,0.201331,0.043992,0.001976,0.017014,0.542683,0.165669,0.600819,0.065502,0.004564,0.074614,0.793418,0.494195
7,0.347467,0.765847,0.166577,0.040364,0.002075,0.015020,0.529439,0.136139,0.510586,0.049660,0.002597,0.062354,0.721182,0.408838
8,0.320712,0.852264,0.146106,0.036954,0.001754,0.014212,0.510368,0.120211,0.578523,0.052566,0.003421,0.061537,0.776312,0.477735
9,0.301557,0.787968,0.123512,0.034397,0.001861,0.015081,0.515255,0.102167,0.515616,0.048945,0.004136,0.060135,0.750090,0.432779
10,0.280798,0.760426,0.112394,0.033290,0.001438,0.011393,0.491312,0.095465,0.487624,0.050768,0.003239,0.058140,0.761371,0.402879
11,0.276614,0.804373,0.108320,0.032462,0.001509,0.012506,0.492132,0.089137,0.533936,0.045916,0.002726,0.063660,0.731713,0.457094
12,0.255447,0.814858,0.093631,0.029575,0.001304,0.010501,0.477664,0.077479,0.547867,0.051309,0.002705,0.066491,0.703126,0.470274
13,0.248770,0.795031,0.088567,0.028878,0.001299,0.010464,0.470103,0.074507,0.532016,0.049224,0.003974,0.062249,0.715661,0.446979
14,0.239867,0.753018,0.083963,0.027650,0.001079,0.009167,0.462894,0.069891,0.498810,0.051337,0.002192,0.066941,0.682669,0.408022
15,0.235193,0.739575,0.075362,0.027054,0.001438,0.010205,0.468748,0.063436,0.493268,0.050737,0.001713,0.059206,0.671204,0.410585
16,0.220718,0.864647,0.070927,0.025211,0.001095,0.008071,0.446175,0.059262,0.601275,0.046868,0.002643,0.069625,0.718533,0.505497
17,0.230715,0.752695,0.077077,0.025468,0.001303,0.009020,0.456773,0.064173,0.506019,0.055595,0.001284,0.056512,0.686840,0.416079
18,0.216688,0.768580,0.068481,0.023961,0.000870,0.007853,0.443429,0.057432,0.512044,0.050732,0.002367,0.067792,0.681186,0.425354
19,0.213775,0.834804,0.064810,0.023400,0.000932,0.008396,0.442889,0.054950,0.558760,0.051669,0.003257,0.071294,0.733907,0.469733
20,0.205963,0.848347,0.061434,0.023041,0.000883,0.007424,0.432694,0.051220,0.573681,0.049534,0.003194,0.069513,0.713796,0.499788
