Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,6.714492,5.660892,2.923505,0.179532,2.291075,0.853219,2.117153,2.767068,1.909857,0.133305,2.324656,0.886445,1.934406,1.695777
2,4.105862,4.335469,1.191668,0.104860,1.749453,0.718066,1.585053,1.029126,1.090063,0.102727,1.967080,0.840946,1.570169,0.919992
3,3.118395,3.721180,0.605212,0.080390,1.473230,0.666943,1.295690,0.493427,0.735779,0.081488,1.777764,0.820587,1.369433,0.606731
4,2.701179,3.479272,0.403523,0.067502,1.331483,0.636757,1.129143,0.317367,0.633376,0.085955,1.684871,0.800505,1.243125,0.522586
5,2.481462,3.320221,0.302428,0.060875,1.252616,0.619098,1.033389,0.236159,0.549902,0.074081,1.631824,0.802279,1.160408,0.452007
6,2.340173,3.144619,0.243983,0.056877,1.198275,0.607597,0.966590,0.187786,0.505154,0.067497,1.548716,0.773235,1.104019,0.410271
7,2.239877,3.114316,0.205899,0.051822,1.160763,0.596380,0.914083,0.159298,0.484275,0.066872,1.535388,0.775703,1.078685,0.408090
8,2.160175,3.069018,0.173159,0.048878,1.129236,0.589783,0.876713,0.134248,0.494329,0.065967,1.508894,0.762202,1.032208,0.416223
9,2.096498,3.097359,0.150877,0.045796,1.103965,0.582266,0.843118,0.117990,0.494316,0.064731,1.526245,0.769159,1.039162,0.421367
10,2.058095,2.962472,0.136979,0.044778,1.088286,0.577739,0.826803,0.106301,0.430137,0.064886,1.473553,0.757946,0.992396,0.371485
11,2.014583,2.987163,0.123280,0.042092,1.071218,0.572490,0.799504,0.096677,0.454640,0.062691,1.478250,0.763225,0.985186,0.382932
12,1.980730,3.057708,0.110671,0.039656,1.057420,0.568411,0.787072,0.087229,0.482302,0.069660,1.500869,0.784724,0.966515,0.412361
13,1.960868,2.969933,0.107907,0.039524,1.048311,0.565830,0.769208,0.084497,0.455013,0.068550,1.470830,0.756081,0.956800,0.388402
14,1.925358,2.937005,0.096774,0.037384,1.032458,0.561390,0.754980,0.075874,0.441783,0.069038,1.442890,0.769837,0.928741,0.380492
15,1.908456,2.964573,0.089687,0.036751,1.027220,0.559014,0.745221,0.070875,0.455083,0.068577,1.463446,0.765998,0.930677,0.388189
16,1.889169,2.930710,0.085331,0.035168,1.017624,0.557258,0.734313,0.067487,0.457009,0.072211,1.438943,0.755591,0.908608,0.397967
17,1.869661,2.926515,0.079878,0.034274,1.010234,0.554180,0.720738,0.063898,0.455982,0.064959,1.439965,0.751070,0.928789,0.392744
18,1.857845,2.897037,0.076601,0.033387,1.004809,0.551922,0.718320,0.061248,0.456246,0.079136,1.425784,0.740897,0.893843,0.389023
19,1.840243,2.887120,0.072489,0.031799,0.998125,0.549404,0.704914,0.058192,0.458791,0.075258,1.411567,0.744929,0.889521,0.393487
20,1.828954,2.872577,0.070069,0.031272,0.992729,0.548349,0.697180,0.056104,0.452171,0.074764,1.420068,0.731916,0.884731,0.383412
21,1.818298,2.877517,0.067797,0.030619,0.988963,0.546931,0.688498,0.053294,0.454007,0.060485,1.417430,0.744256,0.874796,0.392294
