Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,4.812409,4.444116,3.757775,0.180125,0.075069,0.191489,2.038433,3.930742,3.481491,0.150265,0.007003,0.239187,2.071440,3.521232
2,3.726211,3.643872,2.999497,0.146662,0.003800,0.132070,1.669400,3.032883,2.928073,0.136440,0.006399,0.185658,1.846070,2.731474
3,2.948376,3.034647,2.411152,0.126273,0.003342,0.101458,1.477584,2.263175,2.456895,0.121113,0.005267,0.175883,1.800810,2.048500
4,2.123840,2.178120,1.653720,0.103689,0.003817,0.083946,1.364226,1.496210,1.615466,0.104698,0.006760,0.136516,1.747279,1.301155
5,1.352249,1.551185,0.921599,0.081164,0.003475,0.069919,1.148652,0.865756,1.063713,0.084314,0.005284,0.136717,1.450006,0.800336
6,0.969666,1.259500,0.598551,0.067049,0.003490,0.062471,1.010493,0.535515,0.821382,0.088023,0.008364,0.115914,1.339473,0.557356
7,0.766060,1.115694,0.447608,0.059162,0.003100,0.055054,0.910191,0.362926,0.685292,0.061964,0.010867,0.121582,1.341869,0.414113
8,0.648517,1.012293,0.365181,0.055081,0.003169,0.049644,0.840097,0.267088,0.611172,0.057169,0.009703,0.114722,1.273967,0.343017
