Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,5.363783,5.061958,2.976471,0.180331,1.447763,0.349669,1.904638,2.833118,2.322882,0.141504,1.719201,0.481387,1.911040,2.111730
2,2.741720,3.549534,1.424406,0.112229,0.752697,0.176440,1.377838,1.261826,1.392554,0.102516,1.324943,0.381935,1.609505,1.224537
3,1.714331,2.850584,0.774911,0.080934,0.489507,0.128441,1.119702,0.665101,0.949470,0.081080,1.122565,0.374577,1.440704,0.811911
4,1.227583,2.476044,0.486551,0.066014,0.351119,0.101911,0.984865,0.405623,0.736013,0.072556,1.008144,0.364048,1.315237,0.609992
5,0.969893,2.308869,0.346130,0.056446,0.273877,0.083788,0.898610,0.282713,0.663789,0.074857,0.925955,0.363157,1.266639,0.540885
6,0.820032,2.291080,0.267562,0.050896,0.225890,0.072696,0.846839,0.216330,0.624699,0.064322,0.954517,0.353748,1.281400,0.507768
7,0.732255,2.246681,0.223261,0.047562,0.198892,0.065520,0.809188,0.179353,0.570504,0.062185,0.930021,0.390832,1.240159,0.474870
8,0.660522,2.101570,0.185085,0.043295,0.175996,0.061333,0.780850,0.149496,0.570414,0.062314,0.858663,0.345186,1.150662,0.472315
9,0.608920,2.036335,0.161631,0.041260,0.159255,0.055476,0.757853,0.130775,0.539737,0.054816,0.833545,0.347467,1.124206,0.441569
10,0.566164,2.155969,0.139659,0.037615,0.145234,0.053301,0.741097,0.113325,0.565302,0.073392,0.890876,0.368175,1.131460,0.476263
11,0.527770,2.046746,0.125172,0.036599,0.133641,0.049052,0.714313,0.099793,0.530161,0.058096,0.852259,0.347591,1.122026,0.432320
12,0.503325,1.985655,0.113824,0.035008,0.123816,0.047162,0.708265,0.090905,0.519227,0.060401,0.799206,0.354111,1.096866,0.426930
13,0.477950,2.034312,0.102063,0.033603,0.116390,0.044543,0.693340,0.082366,0.550250,0.068187,0.823538,0.350736,1.074387,0.457007
14,0.473016,1.985645,0.096658,0.032749,0.116894,0.044190,0.691325,0.079663,0.507887,0.058211,0.805163,0.360812,1.079335,0.425642
15,0.442653,1.941082,0.085310,0.031412,0.106489,0.041217,0.673664,0.068971,0.516567,0.051313,0.785783,0.341558,1.038289,0.436630
16,0.429754,2.008555,0.081980,0.029610,0.102595,0.037886,0.665009,0.067952,0.531923,0.057783,0.823032,0.344896,1.062860,0.453830
17,0.423703,1.993571,0.077413,0.029326,0.099954,0.041396,0.659054,0.062535,0.525159,0.057462,0.815299,0.350543,1.039988,0.448844
18,0.409687,1.911641,0.072774,0.028439,0.095283,0.038631,0.650582,0.059984,0.522360,0.054274,0.760117,0.345984,0.997879,0.435716
19,0.405830,2.028167,0.072891,0.027635,0.094594,0.037375,0.646182,0.059487,0.555277,0.052280,0.832881,0.348799,1.041768,0.460356
20,0.391853,1.836177,0.067193,0.026505,0.090431,0.036121,0.637209,0.054581,0.502205,0.053586,0.734643,0.312588,0.997677,0.423496
