Epoch,Train_Loss,Val_Loss,Train_loss_nf,Train_loss_eb,Train_loss_nz,Train_loss_eg,Train_loss_sa,Train_loss_sg,Val_loss_nf,Val_loss_eb,Val_loss_nz,Val_loss_eg,Val_loss_sa,Val_loss_sg
1,6.511357,5.337638,2.759678,0.167923,2.267593,0.853011,2.086361,2.602089,1.728775,0.112282,2.215648,0.863390,1.864085,1.557691
2,3.948592,4.160378,1.083555,0.095962,1.713613,0.714633,1.538780,0.937909,0.990795,0.084515,1.912248,0.826991,1.533370,0.846947
3,3.073389,3.698606,0.573485,0.073010,1.460075,0.668160,1.285619,0.472441,0.731838,0.078131,1.775988,0.803342,1.364059,0.610147
4,2.665188,3.465540,0.375137,0.062407,1.320864,0.637464,1.133642,0.295991,0.617656,0.076103,1.681752,0.794853,1.276456,0.518235
5,2.466446,3.274304,0.286076,0.056005,1.247483,0.621873,1.045606,0.224736,0.500190,0.064766,1.615656,0.801557,1.217171,0.418923
6,2.325294,3.198109,0.229469,0.051443,1.194569,0.608528,0.978556,0.176349,0.502989,0.060844,1.584823,0.777425,1.136834,0.425787
7,2.219622,3.075060,0.191134,0.047356,1.151964,0.596784,0.925500,0.147959,0.453300,0.056958,1.522871,0.775869,1.101729,0.381344
8,2.157110,3.049517,0.167683,0.044474,1.127393,0.591354,0.891712,0.129541,0.453625,0.064745,1.516822,0.767566,1.061834,0.374788
9,2.095651,3.015113,0.144773,0.043100,1.103021,0.583277,0.864319,0.112244,0.454614,0.053454,1.497068,0.764425,1.041353,0.374362
10,2.045123,3.066643,0.129431,0.040458,1.081780,0.578081,0.834742,0.099791,0.455826,0.053521,1.524381,0.785999,1.025850,0.387669
11,2.012176,2.919705,0.116642,0.039557,1.069055,0.575150,0.816343,0.089937,0.439357,0.051644,1.439628,0.759945,0.972681,0.365656
12,1.977431,2.961058,0.108896,0.037278,1.053597,0.569460,0.796707,0.084551,0.456111,0.054588,1.463886,0.760331,0.965714,0.383555
13,1.945017,2.907966,0.100273,0.036210,1.039533,0.564874,0.780584,0.076387,0.443221,0.054068,1.437605,0.745675,0.943683,0.385872
14,1.929839,2.936786,0.092714,0.035130,1.033692,0.564251,0.772014,0.072739,0.449184,0.056203,1.455091,0.755393,0.947497,0.378720
15,1.902442,2.911275,0.085740,0.034876,1.022254,0.560171,0.753799,0.067139,0.456467,0.064603,1.420778,0.758623,0.913133,0.394799
16,1.882176,2.929902,0.081909,0.033164,1.012482,0.557014,0.743363,0.064271,0.456597,0.063440,1.442847,0.753632,0.913116,0.398940
17,1.868751,2.892928,0.078491,0.032692,1.007035,0.555638,0.733550,0.060844,0.424733,0.056473,1.437024,0.761277,0.910878,0.361521
18,1.846428,2.846757,0.072918,0.031201,0.997873,0.551314,0.721011,0.057756,0.427088,0.055104,1.409242,0.750851,0.895756,0.353682
19,1.841346,2.943213,0.069630,0.031645,0.996576,0.551075,0.719989,0.054121,0.425878,0.051576,1.467210,0.790392,0.894011,0.357362
20,1.827036,2.893514,0.069250,0.030683,0.988575,0.548496,0.708173,0.055094,0.425242,0.060496,1.430006,0.780604,0.877584,0.353519
21,1.814275,2.880410,0.063698,0.030683,0.985157,0.546325,0.700340,0.051000,0.453947,0.051890,1.411106,0.757767,0.894776,0.380370
22,1.806577,2.838293,0.063829,0.029270,0.980339,0.544928,0.697723,0.050887,0.428087,0.057344,1.409699,0.739236,0.870482,0.370996
23,1.802091,2.833070,0.062508,0.029192,0.979609,0.543714,0.693727,0.049599,0.416859,0.054169,1.399325,0.758829,0.862284,0.361434
24,1.788038,2.879662,0.060843,0.029028,0.971723,0.542507,0.683097,0.047885,0.455956,0.053837,1.415566,0.754008,0.862408,0.392939
25,1.775485,2.852498,0.055935,0.027549,0.966981,0.541422,0.677839,0.043976,0.440783,0.054272,1.401830,0.761141,0.854619,0.371230
26,1.770590,2.874594,0.057398,0.027862,0.964375,0.539292,0.673132,0.044706,0.452418,0.064243,1.407627,0.759236,0.838437,0.395739
27,1.755360,2.790311,0.053153,0.027211,0.958252,0.537294,0.662908,0.041518,0.414640,0.053143,1.392057,0.731168,0.842737,0.360747
28,1.758770,2.855236,0.055382,0.027337,0.959101,0.536834,0.664890,0.044017,0.434051,0.055449,1.412278,0.755600,0.859534,0.369497
29,1.751648,2.881942,0.052363,0.027304,0.956199,0.536950,0.659382,0.041701,0.455202,0.059095,1.412310,0.760279,0.855778,0.390942
30,1.737014,2.786791,0.049484,0.026383,0.951121,0.533152,0.651528,0.038698,0.419261,0.043510,1.384758,0.742353,0.828602,0.359428
31,1.740055,2.863948,0.050304,0.025431,0.952348,0.534373,0.650023,0.040919,0.449184,0.053836,1.413107,0.748512,0.857681,0.387030
